"page_url"	"nid"	"page_title"	"antall_ansatte"
"/yrker/beskrivelse/rokter"	"3962616"	"Røkter"	"30653"
"/yrker/beskrivelse/blikkenslager"	"395759"	"Blikkenslager"	"30279"
"/yrker/beskrivelse/finansanalytiker"	"396151"	"Finansanalytiker"	"30249"
"/yrker/beskrivelse/hjulutrustningsreparator"	"396078"	"Hjulutrustningsreparatør"	"30246"
"/yrker/beskrivelse/ambulansearbeider"	"395724"	"Ambulansearbeider"	"30179"
"/yrker/beskrivelse/matros"	"395905"	"Matros"	"29984"
"/yrker/beskrivelse/hjemmehjelp"	"396223"	"Hjemmehjelp"	"29491"
"/yrker/beskrivelse/helsesykepleier"	"395824"	"Helsesykepleier"	"29423"
"/yrker/beskrivelse/profileringsdesigner"	"3948520"	"Profileringsdesigner "	"28742"
"/yrker/beskrivelse/grafisk_designer"	"395817"	"Grafisk designer"	"28701"
"/yrker/beskrivelse/telekommunikasjonsmontor"	"396009"	"Telekommunikasjonsmontør"	"28611"
"/yrker/beskrivelse/undervisningsinspektor"	"396174"	"Undervisningsinspektør"	"28517"
"/yrker/beskrivelse/stillasbygger"	"396059"	"Stillasbygger"	"28244"
"/yrker/beskrivelse/personalsjef"	"395933"	"Personalsjef"	"28027"
"/yrker/beskrivelse/aluminiumskonstruktor"	"396086"	"Aluminiumskonstruktør"	"27146"
"/yrker/beskrivelse/mobelsnekker"	"395917"	"Møbelsnekker"	"26499"
"/yrker/beskrivelse/fengselsbetjent"	"395791"	"Fengselsbetjent"	"26490"
"/yrker/beskrivelse/telefonselger"	"3962573"	"Telefonselger"	"26088"
"/yrker/beskrivelse/landbruksradgiver"	"396135"	"Landbruksrådgiver"	"26014"
"/yrker/beskrivelse/dataelektroniker"	"396087"	"Dataelektroniker"	"25430"
"/yrker/beskrivelse/energimontor"	"395784"	"Energimontør"	"25315"
"/yrker/beskrivelse/jordmor"	"395851"	"Jordmor"	"25174"
"/yrker/beskrivelse/gartner"	"395812"	"Gartner"	"24960"
"/yrker/beskrivelse/bibliotekar"	"395750"	"Bibliotekar"	"24917"
"/yrker/beskrivelse/anleggsmaskinmekaniker"	"396063"	"Anleggsmaskinmekaniker"	"23986"
"/yrker/beskrivelse/baker"	"395743"	"Baker"	"23943"
"/yrker/beskrivelse/spesialsykepleier_innen_psykisk_helse"	"395949"	"Spesialsykepleier innen psykisk helse"	"23771"
"/yrker/beskrivelse/farmasoyt"	"396177"	"Farmasøyt"	"22874"
"/yrker/beskrivelse/tannlege"	"396002"	"Tannlege"	"22776"
"/yrker/beskrivelse/apotektekniker"	"395729"	"Apotektekniker"	"22002"
"/yrker/beskrivelse/ergoterapeut"	"395785"	"Ergoterapeut"	"21679"
"/yrker/beskrivelse/spesialpedagog"	"395991"	"Spesialpedagog"	"21595"
"/yrker/beskrivelse/produksjonselektroniker"	"396052"	"Produksjonselektroniker"	"21579"
"/yrker/beskrivelse/tannhelsesekretaer"	"396001"	"Tannhelsesekretær"	"21552"
"/yrker/beskrivelse/postbud"	"395944"	"Postbud"	"21337"
"/yrker/beskrivelse/reiselivsmedarbeider"	"395957"	"Reiselivsmedarbeider"	"20948"
"/yrker/beskrivelse/styrmann"	"395995"	"Styrmann"	"19966"
"/yrker/beskrivelse/avisbud"	"396105"	"Avisbud"	"19903"
"/yrker/beskrivelse/radiograf"	"395952"	"Radiograf"	"19863"
"/yrker/beskrivelse/idrettsutover"	"396107"	"Idrettsutøver"	"18647"
"/yrker/beskrivelse/bilselger"	"395753"	"Bilselger"	"18056"
"/yrker/beskrivelse/personlig_trener"	"396240"	"Personlig trener"	"17975"
"/yrker/beskrivelse/industrisnekker"	"396199"	"Industrisnekker"	"17862"
"/yrker/beskrivelse/kjokkensjef"	"3962576"	"Kjøkkensjef"	"17689"
"/yrker/beskrivelse/maskinist"	"396188"	"Maskinist"	"17687"
"/yrker/beskrivelse/glassfagarbeider"	"396074"	"Glassfagarbeider"	"17546"
"/yrker/beskrivelse/grunnarbeider_bygg"	"3962599"	"Grunnarbeider (bygg)"	"17538"
"/yrker/beskrivelse/prest"	"395945"	"Prest"	"17140"
"/yrker/beskrivelse/driftstekniker_it"	"3962623"	"Driftstekniker (IT)"	"17078"
"/yrker/beskrivelse/automatiker"	"395740"	"Automatiker"	"16830"
"/yrker/beskrivelse/musiker"	"395914"	"Musiker"	"16823"
"/yrker/beskrivelse/kabinbesetning_fly"	"395854"	"Kabinbesetning fly"	"16605"
"/yrker/beskrivelse/laborant"	"395882"	"Laborant"	"16399"
"/yrker/beskrivelse/statistiker"	"3962611"	"Statistiker"	"16029"
"/yrker/beskrivelse/tekstilrenser"	"396083"	"Tekstilrenser"	"15992"
"/yrker/beskrivelse/fagoperator_i_termoplast"	"3948524"	"Fagoperatør i termoplast"	"15945"
"/yrker/beskrivelse/isolator"	"395849"	"Isolatør"	"15531"
"/yrker/beskrivelse/fagoperator_i_polymerkompositt_herdeplast"	"396248"	"Fagoperatør i polymerkompositt / herdeplast"	"15522"
"/yrker/beskrivelse/redaktor"	"395954"	"Redaktør"	"15416"
"/yrker/beskrivelse/fisker"	"395795"	"Fisker"	"15152"
"/yrker/beskrivelse/plastmekaniker"	"3947256"	"Plastmekaniker"	"14969"
"/yrker/beskrivelse/industriell_overflatebehandler"	"3946806"	"Industriell overflatebehandler "	"14878"
"/yrker/beskrivelse/mediegrafiker"	"396029"	"Mediegrafiker"	"14323"
"/yrker/beskrivelse/spillprogrammerer"	"396096"	"Spillprogrammerer"	"14127"
"/yrker/beskrivelse/fotballtrener"	"395802"	"Fotballtrener"	"13735"
"/yrker/beskrivelse/skogsoperator"	"396068"	"Skogsoperatør"	"13452"
"/yrker/beskrivelse/pilot"	"395937"	"Pilot"	"13364"
"/yrker/beskrivelse/kranforer"	"395875"	"Kranfører"	"13361"
"/yrker/beskrivelse/trafikklaerer"	"396014"	"Trafikklærer"	"13300"
"/yrker/beskrivelse/bilskadereparator"	"396060"	"Bilskadereparatør"	"13026"
"/yrker/beskrivelse/maskinsjef"	"396208"	"Maskinsjef"	"12968"
"/yrker/beskrivelse/industrirorlegger"	"395843"	"Industrirørlegger"	"12676"
"/yrker/beskrivelse/guide"	"395818"	"Guide"	"12560"
"/yrker/beskrivelse/kjemiker"	"395862"	"Kjemiker"	"12323"
"/yrker/beskrivelse/vaskerioperator"	"396207"	"Vaskerioperatør"	"12320"
"/yrker/beskrivelse/teknisk_tegner"	"396007"	"Teknisk tegner"	"12274"
"/yrker/beskrivelse/fagoperator_i_grafisk_produksjonsteknikk"	"3962519"	"Fagoperatør i grafisk produksjonsteknikk"	"12268"
"/yrker/beskrivelse/pedagogisk-psykologisk_radgiver_pp-radgiver"	"417179"	"Pedagogisk-psykologisk rådgiver (PP-rådgiver)"	"12124"
"/yrker/beskrivelse/miljoradgiver"	"396249"	"Miljørådgiver"	"12111"
"/yrker/beskrivelse/reservedelsekspeditor"	"396047"	"Reservedelsekspeditør"	"11803"
"/yrker/beskrivelse/dyrepleier"	"395779"	"Dyrepleier"	"11514"
"/yrker/beskrivelse/kirketjener"	"395858"	"Kirketjener"	"11351"
"/yrker/beskrivelse/kosmetolog"	"395872"	"Kosmetolog"	"11261"
"/yrker/beskrivelse/veterinaer"	"396023"	"Veterinær"	"11152"
"/yrker/beskrivelse/fotballspiller"	"395801"	"Fotballspiller"	"11146"
"/yrker/beskrivelse/reseptarfarmasoyt"	"395962"	"Reseptarfarmasøyt"	"11128"
"/yrker/beskrivelse/flymotormekaniker"	"395797"	"Flymotormekaniker"	"11114"
"/yrker/beskrivelse/arkivar"	"395732"	"Arkivar"	"10821"
"/yrker/beskrivelse/taktekker"	"396000"	"Taktekker"	"10804"
"/yrker/beskrivelse/avioniker"	"395741"	"Avioniker"	"10392"
"/yrker/beskrivelse/flysystemmekaniker"	"396065"	"Flysystemmekaniker"	"10352"
"/yrker/beskrivelse/flystrukturmekaniker"	"396203"	"Flystrukturmekaniker"	"10335"
"/yrker/beskrivelse/it-leder"	"3962596"	"IT-leder"	"10293"
"/yrker/beskrivelse/overstyrmann"	"396222"	"Overstyrmann"	"10170"
"/yrker/beskrivelse/interiorkonsulent"	"395848"	"Interiørkonsulent"	"10125"
"/yrker/beskrivelse/menighetspedagog"	"396123"	"Menighetspedagog"	"10031"
"/yrker/beskrivelse/mediedesigner"	"395906"	"Mediedesigner"	"9854"
"/yrker/beskrivelse/kjemiingenior"	"395861"	"Kjemiingeniør"	"9781"
"/yrker/beskrivelse/lokomotivforer"	"396170"	"Lokomotivfører"	"9614"
